title,author,publication_year,journal_name,doiabstract,doi,abstract
Should Derivatives Be Privileged in Bankruptcy?,PATRICK BOLTON,11 November 2014,The Journal of Finance,,/doi/10.1111/jofi.12201,"ABSTRACTDerivatives enjoy special status in bankruptcy: they are exempt from the automatic stay and effectively senior to virtually all other claims. We propose a corporate finance model to assess the effect of these exemptions on a firm's cost of borrowing and incentives to engage in derivative transactions. While derivatives are value-enhancing risk management tools, seniority for derivatives can lead to inefficiencies: it transfers credit risk to debtholders, even though this risk is borne more efficiently in the derivative market. Seniority for derivatives is efficient only if it provides sufficient cross-netting benefits to derivative counterparties that provide hedging services."
Regulatory Arbitrage and Cross-Border Bank Acquisitions,G. ANDREW KAROLYI,05 March 2015,The Journal of Finance,,/doi/10.1111/jofi.12262,"ABSTRACTWe study how differences in bank regulation influence cross-border bank acquisition flows and share price reactions to cross-border deal announcements. Using a sample of 7,297 domestic and 916 majority cross-border deals announced between 1995 and 2012, we find evidence of a form of “regulatory arbitrage” whereby acquisition flows involve acquirers from countries with stronger regulations than their targets. Target and aggregate abnormal returns around deal announcements are positive and larger when acquirers come from more restrictive bank regulatory environments. We interpret this evidence as more consistent with a benign form of regulatory arbitrage than a potentially destructive one."
Risk Overhang and Loan Portfolio Decisions: Small Business Loan Supply before and during the Financial Crisis,ROBERT DEYOUNG,04 September 2015,The Journal of Finance,,/doi/10.1111/jofi.12356,"ABSTRACTWe estimate a structural model of bank portfolio lending and find that the typical U.S. community bank reduced its business lending during the global financial crisis. The decline in business credit was driven by increased risk overhang effects (consistent with a reduction in the liquidity of assets held on bank balance sheets) and by reduced loan supply elasticities suggestive of credit rationing (consistent with an increase in lender risk aversion). Nevertheless, we identify a group of strategically focused relationship banks that made and maintained higher levels of business loans during the crisis."
"Is Historical Cost Accounting a Panacea? Market Stress, Incentive Distortions, and Gains Trading",ANDREW ELLUL,04 September 2015,The Journal of Finance,,/doi/10.1111/jofi.12357,"ABSTRACTAccounting rules, through their interactions with capital regulations, affect financial institutions’ trading behavior. The insurance industry provides a laboratory to explore these interactions: life insurers have greater flexibility than property and casualty insurers to hold speculative-grade assets at historical cost, and the degree to which life insurers recognize market values differs across U.S. states. During the financial crisis, insurers facing a lesser degree of market value recognition are less likely to sell downgraded asset-backed securities. To improve their capital positions, these insurers disproportionately resort to gains trading, selectively selling otherwise unrelated bonds with high unrealized gains, transmitting shocks across markets."
"
Internal Capital Markets in Business Groups: Evidence from the Asian Financial Crisis
",HEITOR ALMEIDA,06 August 2015,The Journal of Finance,,/doi/10.1111/jofi.12309,"ABSTRACTThis paper examines capital reallocation among firms in Korean business groups (c⁢h⁢a⁢e⁢b⁢o⁢l) in the aftermath of the 1997 Asian financial crisis, and the consequences of this capital reallocation for the investment and performance ofc⁢h⁢a⁢e⁢b⁢o⁢lfirms. We show thatc⁢h⁢a⁢e⁢b⁢o⁢ltransferred cash from low-growth to high-growth member firms, using cross-firm equity investments. This capital reallocation allowedchaebolfirms with greater investment opportunities to invest more than control firms after the crisis. These firms also showed higher profitability and lower declines in valuation than control firms following the crisis. Our results suggest thatchaebolinternal capital markets helped them mitigate the negative effects of the Asian crisis on investment and performance."
"Foreclosures, House Prices, and the Real Economy",ATIF MIAN,07 August 2015,The Journal of Finance,,/doi/10.1111/jofi.12310,"ABSTRACTFrom 2007 to 2009, states without a judicial requirement for foreclosures weretwiceas likely to foreclose on delinquent homeowners. Analysis of borders of states with differing foreclosure laws reveals a discrete jump in foreclosure propensity as one enters nonjudicial states. Using state judicial requirement as an instrument for foreclosures, we show that foreclosures led to a large decline in house prices, residential investment, and consumer demand from 2007 to 2009. As foreclosures subsided from 2011 to 2013, the foreclosure rates in nonjudicial and judicial requirement states converged and we find some evidence of a stronger recovery in nonjudicial states."
Asset Quality Misrepresentation by Financial Intermediaries: Evidence from the RMBS Market,TOMASZ PISKORSKI,18 March 2015,The Journal of Finance,,/doi/10.1111/jofi.12271,"ABSTRACTWe document that contractual disclosures by intermediaries during the sale of mortgages contained false information about the borrower's housing equity in 7–14% of loans. The rate of misrepresented loan default was 70% higher than for similar loans. These misrepresentations likely occurred late in the intermediation and exist among securities sold by all reputable intermediaries. Investors—including large institutions—holding securities with misrepresented collateral suffered severe losses due to loan defaults, price declines, and ratings downgrades. Pools with misrepresentations were not issued at a discount. Misrepresentation on another easy-to-quantify dimension shows that these effects are a conservative lower bound."
The People in Your Neighborhood: Social Interactions and Mutual Fund Portfolios,VERONIKA K. POOL,02 September 2014,The Journal of Finance,,/doi/10.1111/jofi.12208,"ABSTRACTWe find that socially connected fund managers have more similar holdings and trades. The overlap of funds whose managers reside in the same neighborhood is considerably higher than that of funds whose managers live in the same city but in different neighborhoods. These effects are larger when managers share a similar ethnic background, and are not explained by preferences. Valuable information is transmitted through these peer networks: a long-short strategy composed of stocks purchased minus sold by neighboring managers delivers positive risk-adjusted returns. Unlike prior empirical work, our tests disentangle the effects of social interactions from community effects."
"Mandatory Portfolio Disclosure, Stock Liquidity, and Mutual Fund Performance",VIKAS AGARWAL,27 January 2015,The Journal of Finance,,/doi/10.1111/jofi.12245,"ABSTRACTWe examine the impact of mandatory portfolio disclosure by mutual funds on stock liquidity and fund performance. We develop a model of informed trading with disclosure and test its predictions using the May 2004 SEC regulation requiring more frequent disclosure. Stocks with higher fund ownership, especially those held by more informed funds or subject to greater information asymmetry, experience larger increases in liquidity after the regulation change. More informed funds, especially those holding stocks with greater information asymmetry, experience greater performance deterioration after the regulation change. Overall, mandatory disclosure improves stock liquidity but imposes costs on informed investors."
Government Intervention and Information Aggregation by Prices,PHILIP BOND,17 June 2015,The Journal of Finance,,/doi/10.1111/jofi.12303,"ABSTRACTGovernments intervene in firms' lives in a variety of ways. To enhance the efficiency of government intervention, many researchers and policy makers call for governments to make use of information contained in stock market prices. However, price informativeness is endogenous to government policy. We analyze government policy in light of this endogeneity. In some cases, it is optimal for a government to commit to limit its reliance on market prices to avoid harming the aggregation of information into market prices. For similar reasons, it is optimal for a government to limit transparency in some dimensions."
